epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,119.408,1.7219,2.97261,1.80619,0.03699,1.93212,0.84745,0.22222,0.23443,0.10153,0.74763,0.16667,0.17089,0.04319,2.29158,4.06966,3.42129,0.09099,0,0.000961322,0.000961322,0.000961322
40,121.962,1.58392,2.86189,1.75175,0.0364,2.03872,0.42393,0.21111,0.24681,0.12253,0.42393,0.21111,0.22321,0.05611,2.25497,3.75957,3.59089,0.09027,0,0.000959289,0.000959289,0.000959289
41,124.437,1.70003,3.02773,1.96978,0.03395,2.18123,0.26612,0.33072,0.33733,0.13475,0.335,0.32222,0.29172,0.05582,2.42653,3.93729,3.15253,0.09741,0,0.000957205,0.000957205,0.000957205
42,126.977,1.60561,3.06764,1.77682,0.03569,2.15185,0.54021,0.3215,0.30516,0.09436,0.27673,0.20825,0.14183,0.0359,2.41251,4.05727,3.08797,0.09552,0,0.000955072,0.000955072,0.000955072
43,129.455,1.55396,2.90382,1.62312,0.03407,1.85605,0.33493,0.37778,0.34871,0.13038,0.95401,0.16667,0.18982,0.054,2.54171,4.18209,2.79908,0.10071,0,0.000952889,0.000952889,0.000952889
44,132.131,1.48222,2.81428,1.88685,0.03206,2.07533,0.35592,0.32222,0.21639,0.09631,0.10621,0.11111,0.07571,0.03258,2.38274,4.3873,3.06882,0.09109,0,0.000950658,0.000950658,0.000950658
45,134.552,1.46982,3.16914,1.57519,0.03204,2.16596,0.67354,0.33353,0.36478,0.1492,0.8324,0.05556,0.07036,0.03171,2.29299,4.68324,3.25105,0.08735,0,0.000948377,0.000948377,0.000948377
46,137.015,1.52277,2.83341,1.92191,0.02892,2.13106,0.21128,0.26667,0.21149,0.07919,0.60961,0.11111,0.05902,0.01916,2.05624,4.69464,3.50122,0.08047,0,0.000946048,0.000946048,0.000946048
47,139.506,1.56113,2.89413,1.67332,0.03427,1.8579,0.78821,0.16667,0.19678,0.08617,0.68531,0.11111,0.09547,0.03327,2.50304,4.70459,2.85421,0.10064,0,0.000943671,0.000943671,0.000943671
48,141.989,1.602,2.68958,1.57878,0.03554,1.67882,0.39728,0.34695,0.31302,0.14385,0.45611,0.21111,0.1787,0.05283,2.60644,4.76093,2.73446,0.10501,0,0.000941245,0.000941245,0.000941245
